unnamed_0,id,name_ru,name_en,description,osnovnaia_myshechnaia_gruppa,tip_uprazhneniia,level,kliuchevye_tegi_dlia_ii
119,WZ020,Лопаточные отжимания,Scapular Push-ups,"В положении планки, без сгибания локтей, выполняются движения только лопатками (сведение и разведение).",Передняя зубчатая,"Разминка, Корректирующее",Начальный,"[Здоровье плеч], [Стабильность лопаток]"
120,WZ021,Медвежья проходка,Bear Crawl,"Передвижение на четвереньках с коленями, приподнятыми над полом. Активирует все тело, особенно кор и плечи.","Кор, Плечи, Все тело",Разминка,Средний,"[Активация всего тела], [Стабильность кора], [Координация]"
122,EX027_v2,Казачьи приседания,Cossack Squats,"Глубокие боковые приседания на одну ногу, в то время как другая нога остается прямой и отведена в сторону.","Внутренняя поверхность бедра, Ягодицы","Силовое, Гибкость",Продвинутый,"[Боковая стабильность], [Гибкость паха], [Продвинутая сила ног]"
123,EX028_v2,"Приседания ""Креветка""",Shrimp Squats,"Приседание на одной ноге, удерживая стопу другой ноги рукой сзади. Сложное упражнение на баланс и силу.","Ноги, Ягодицы","Силовое, Баланс",Продвинутый,"[Продвинутый баланс], [Односторонняя сила]"
124,EX029_v2,Сгибания на бицепс бедра (со скольжением),Bodyweight Hamstring Curls,"Лежа на спине, пятки на скользкой поверхности (полотенце). Поднять таз и медленно сгибать ноги, подтягивая пятки к ягодицам.",Задняя поверхность бедра,Силовое,Средний,"[Изоляция бицепса бедра], [Профилактика травм колена]"
125,EX030_v2,Сисси-приседания (с опорой),Sissy Squats (Assisted),"Наклоняясь назад и поднимаясь на носки, выполняется приседание с акцентом на экстремальное растяжение и сокращение квадрицепсов.",Квадрицепс,Силовое,Продвинутый,"[Изоляция квадрицепса], [Подвижность коленей]"
126,EX031_v2,Копенгагенское приведение бедра,Copenhagen Adduction,"Лежа на боку, верхняя нога на возвышенности. Подъем корпуса и нижней ноги силой внутренней поверхности бедра.",Внутренняя поверхность бедра,Силовое,Средний,"[Сила приводящих мышц], [Профилактика травм паха]"
127,EX032_v2,Ягодичный мост на одной ноге (ноги на возвышенности),Single-Leg Hip Thrust (Elevated),"Ягодичный мост на одной ноге, при этом обе ноги находятся на возвышенности для увеличения амплитуды и сложности.","Ягодицы, Бицепс бедра",Силовое,Продвинутый,"[Продвинутая сила толчков], [Гипертрофия ягодиц]"
129,EX031_v3,"Отжимания ""Лучник""",Archer Push-ups,"Отжимания с широкой постановкой рук, где вес тела смещается на одну руку, а другая остается почти прямой.","Грудь, Трицепс, Плечи",Силовое,Продвинутый,"[Односторонняя сила], [Подготовка к отжиманиям на одной руке]"
130,EX032_v3,Псевдо-планш отжимания,Pseudo Planche Push-ups,"Отжимания, в которых ладони расположены на уровне таза, что сильно смещает нагрузку на плечи и требует силы кора.","Плечи, Грудь, Кор",Силовое,Продвинутый,"[Продвинутая сила плеч], [Прогрессия в калистенике]"
131,EX033_v2,Отжимания в стойке на руках (у стены),Handstand Push-ups (Wall Assisted),Вертикальные жимы в стойке на руках у стены. Развивает плечи и трицепсы.,"Плечи, Трицепс",Силовое,Продвинутый,"[Вертикальный жим], [Сила плеч]"
132,EX034_v2,Обратные отжимания на предплечьях,Reverse Plank Dips,"Сидя на полу, опереться на предплечья и поднять таз. Выполнение отжиманий из этого положения.","Трицепс, Задние дельты",Силовое,Средний,"[Изоляция трицепса], [Здоровье плеч]"
133,EX035_v2,Сгибания на бицепс с весом тела,Bodyweight Bicep Curls,"Используя низкую перекладину или стол, выполняется тяговое движение, имитирующее сгибание рук на бицепс.",Бицепс,Силовое,Средний,"[Изоляция бицепса], [Сила рук]"
134,EX036_v2,Ходьба краба,Crab Walk,"Передвижение в позе обратной планки (""крабик""). Укрепляет трицепсы, ягодицы и заднюю поверхность бедра.","Трицепс, Ягодицы, Задняя цепь","Силовое, Координация",Начальный,"[Сила задней цепи], [Координация]"
136,EX046,"""Полая лодка"" (удержание)",Hollow Body Hold,"Лежа на спине, поднять руки и ноги над полом, прижав поясницу к полу. Фундаментальное упражнение на силу всего кора.",Весь пресс,"Стабильность, Кор",Средний,"[Глубокая сила кора], [Стабильность позвоночника]"
137,EX047,"""Флаг Дракона"" (негативная фаза)",Dragon Flag (Negative),"Лежа на спине и держась за опору, поднять тело в прямую линию и очень медленно опускать его вниз.","Весь пресс, Кор",Кор,Продвинутый,"[Эксцентрическая сила кора], [Продвинутая сила пресса]"
138,EX048,"""Дворники"" лежа",Lying Windshield Wipers,"Лежа на спине, поднять ноги вверх и опускать их из стороны в сторону, не касаясь пола.","Косые мышцы, Нижний пресс",Кор,Средний,"[Ротация], [Сила косых мышц]"
139,EX049,Выкаты на пресс (со скольжением),Ab Rollout (Towel/Sliders),"Стоя на коленях, руки на скользкой поверхности (полотенце). Медленно ""выезжать"" вперед, растягивая корпус, и возвращаться обратно.","Весь пресс, Кор",Кор,Продвинутый,"[Анти-экстензия], [Продвинутая сила кора]"
140,EX050,Боковая планка с ротацией и подъемом бедра,Side Plank with Hip Lift & Rotation,"Комбинация боковой планки, подъема таза и скручивания корпуса.","Косые мышцы, Ягодицы","Кор, Стабильность",Средний,"[Комплексная работа кора], [Стабильность таза]"
141,EX051,L-подтягивания,L-Pull-ups,"Выполнение подтягиваний с удержанием ног в положении ""уголок"" (L-sit).","Спина, Бицепс, Кор","Силовое, Кор",Продвинутый,"[Продвинутая сила кора], [Комплексная сила]"
143,CX016,Прыжки с подтягиванием коленей к груди,Tuck Jumps,Взрывные прыжки вверх с максимальным подтягиванием коленей к груди в верхней точке.,"Ноги, Все тело","HIIT, Кардио",Продвинутый,"[Взрывная сила], [Высокая интенсивность]"
144,CX017,"""Брейкдансер""",Breakdancer Kicks,"Из положения ""медведя"", поочередное выбрасывание ноги в сторону под корпусом с опорой на одну руку.","Кор, Плечи, Все тело","HIIT, Координация",Средний,"[Координация], [Ловкость], [Кардио-эффект]"
145,CX018,Плиометрические отжимания,Plyometric Push-ups,Взрывные отжимания с отрывом ладоней от пола (можно с хлопком).,"Грудь, Трицепс, Плечи","HIIT, Силовое",Продвинутый,"[Взрывная сила верха тела], [Мощность]"
146,CX019,"Прыжки ""Ослик""",Donkey Kicks,"Из положения планки, прыжок ногами вверх, как бы пытаясь встать на руки.","Плечи, Кор, Все тело","HIIT, Баланс",Продвинутый,"[Подготовка к стойке на руках], [Динамический баланс]"
147,CX020,Приседания с прыжком на 180 градусов,180 Degree Squat Jumps,Приседание с последующим выпрыгиванием и разворотом в воздухе на 180 градусов.,"Ноги, Кор, Все тело","HIIT, Координация",Средний,"[Ловкость], [Ротация], [Взрывная сила]"
148,CX021,"Переход ""Зверь-Краб""",Beast to Crab Transition,"Плавный переход из позы ""медведя"" в позу ""краба"" и обратно. Движение из Animal Flow.",Все тело,"HIIT, Мобильность",Средний,"[Мобильность всего тела], [Осознанность тела], [Низкоинтенсивное кардио]"
150,SX016,"Динамическая ""Лягушка""",Rocking Frog Pose,"В позе ""Лягушки"" выполняются плавные покачивания тазом вперед-назад для динамической растяжки и мобилизации.","Внутренняя поверхность бедра, Таз","Мобильность, Таз",Средний,"[Динамическая гибкость], [Раскрытие таза], [Комфорт для пассивной роли]"
151,SX017,"Перекаты ""90/90""",90/90 Hip Switches,"Сидя на полу, ноги согнуты в углах 90/90. Плавные перекаты с одной стороны на другую для мобилизации тазобедренных суставов.","Бедра, Таз","Мобильность, Таз",Начальный,"[Внутренняя/внешняя ротация бедра], [Гибкость для поз]"
152,SX018,Глубокий присед с внутренней ротацией бедра,Deep Squat with Internal Rotation,В глубоком приседе (Маласана) выполняется контролируемое опускание одного колена к полу для продвинутой мобилизации таза.,"Бедра, Таз","Мобильность, Таз",Продвинутый,"[Продвинутая мобильность таза], [Контроль движений]"
153,SX019,"""Тазовые часы""",Pelvic Clocks,"Лежа на спине, представить циферблат на тазе и плавно ""наклонять"" его к каждой цифре по кругу.","Кор, МТД, Таз","Контроль, Таз",Начальный,"[Осознанность тела], [Нейромышечный контроль], [Здоровье поясницы]"
154,SX020,"Пульсации в ""Бабочке""",Butterfly Pulses,"В позе ""Бабочки"" выполняются легкие, пружинящие движения коленями вверх-вниз для динамической растяжки паха.",Внутренняя поверхность бедра,"Мобильность, Таз",Начальный,"[Динамическая гибкость], [Улучшение кровотока]"
155,SX021,"Ягодичный мост ""Четверка""",Figure-Four Bridge,"Ягодичный мост, где лодыжка одной ноги лежит на колене другой. Одновременно укрепляет и растягивает ягодицы.","Ягодицы, Бедра","Силовое, Гибкость",Средний,"[Растяжка ягодиц], [Стабильность таза]"
157,CZ016,Поза Щенка,Puppy Pose (Uttana Shishosana),"Стоя на коленях, вытянуть руки вперед и опустить грудь к полу. Глубоко растягивает плечи и грудной отдел.","Плечи, Спина","Заминка, Растяжка",Средний,"[Раскрытие грудной клетки], [Коррекция осанки]"
158,CZ017,Поза Лежачего Героя (модифицированная),Reclining Hero Pose (Modified),"Сидя между пятками (на опоре), плавный наклон назад для глубокой растяжки квадрицепсов и сгибателей бедра.","Квадрицепс, Сгибатели бедра","Заминка, Растяжка",Продвинутый,"[Глубокая растяжка ног], [Подвижность коленей]"
159,CZ018,Поза Дракона,Dragon Pose,Глубокий выпад с опусканием на предплечья для интенсивной растяжки сгибателей бедра.,Сгибатели бедра,"Заминка, Растяжка",Продвинутый,"[Экстремальное раскрытие таза], [Снятие напряжения от сидения]"
160,CZ019,Растяжка в широком седе (Складка),Straddle Stretch,"Сидя на полу, развести прямые ноги широко в стороны и выполнить наклон корпуса вперед.","Внутренняя поверхность бедра, Задняя поверхность бедра","Заминка, Растяжка",Средний,"[Гибкость для поз], [Растяжка паха]"
161,CZ020,Растяжка у стены в широком седе,Wall Straddle,"Лежа на спине, поднять ноги вверх по стене и позволить им разъехаться в стороны под действием гравитации.",Внутренняя поверхность бедра,"Заминка, Растяжка",Начальный,"[Пассивная растяжка], [Расслабление]"
162,CZ021,"Растяжка ""Крендель""",Pretzel Stretch,"Лежа на спине, одна нога закидывается на другую, выполняется скручивание. Глубокая растяжка ягодиц и поясницы.","Ягодицы, Спина","Заминка, Растяжка",Средний,"[Глубокая растяжка ягодиц], [Здоровье поясницы]"
